Search keyword report
"January 25, 2026 - April 24, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Clicks,Final URL,Impr.,CTR,Currency code,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,"""data science interview practice""",Phrase match,DS_Core_buyers,DS Mock interviews,Not eligible,campaign ended; campaign removed,0,,0, --,INR,0.00,0.00%,0.00,0.00
Enabled,"""mock interview for data scientist""",Phrase match,DS_Core_buyers,DS Mock interviews,Not eligible,campaign ended; campaign removed,0,,0, --,INR,0.00,0.00%,0.00,0.00
Enabled,[data scientist mock interview],Exact match,DS_Core_buyers,DS Mock interviews,Not eligible,campaign ended; campaign removed,0,,0, --,INR,0.00,0.00%,0.00,0.00
Enabled,"""data science interview coaching""",Phrase match,DS_Core_buyers,DS Mock interviews,Not eligible,campaign ended; campaign removed,0,,0, --,INR,0.00,0.00%,0.00,0.00
Enabled,"""data scientist mock interview""",Phrase match,DS_Core_buyers,DS Mock interviews,Not eligible,campaign ended; campaign removed,0,,0, --,INR,0.00,0.00%,0.00,0.00
Enabled,"""mock interview data analyst""",Phrase match,Data Analyst Sales,DA mock interview,Not eligible,campaign paused,11,,190,5.79%,INR,1200.30,9.09%,1.00,1200.30
Enabled,[mock interview data analyst],Exact match,Data Analyst Sales,DA mock interview,Not eligible,campaign paused,7,,73,9.59%,INR,592.65,14.29%,1.00,592.65
Enabled,"""data analyst interview preparation""",Phrase match,Data Analyst Sales,DA mock interview,Not eligible,campaign paused,4,,590,0.68%,INR,187.95,0.00%,0.00,0.00
Enabled,[data analyst mock interview],Exact match,Data Analyst Sales,DA mock interview,Not eligible,campaign paused,10,,241,4.15%,INR,691.50,0.00%,0.00,0.00
Enabled,"""data analytics mock interview""",Phrase match,Data Analyst Sales,DA mock interview,Not eligible,campaign paused,2,,386,0.52%,INR,22.87,0.00%,0.00,0.00
Enabled,"""data analytics interview preparation""",Phrase match,Data Analyst Sales,DA mock interview,Not eligible,campaign paused,21,,899,2.34%,INR,1535.69,4.76%,1.00,1535.69
Enabled,"""mock interview for data analyst""",Phrase match,Data Analyst Sales,DA mock interview,Not eligible,campaign paused,6,,88,6.82%,INR,384.42,0.00%,0.00,0.00
Enabled,"""preparing for a data analyst interview""",Phrase match,Data Analyst Sales,DA mock interview,Not eligible,campaign paused,14,,"1,451",0.96%,INR,324.87,0.00%,0.00,0.00
Enabled,"""data analyst interview prep""",Phrase match,Data Analyst Sales,DA mock interview,Not eligible,campaign paused,11,,"1,267",0.87%,INR,148.26,0.00%,0.00,0.00
Enabled,"""data analytics interview prep""",Phrase match,Data Analyst Sales,DA mock interview,Not eligible,campaign paused,56,,"1,754",3.19%,INR,3674.79,3.57%,2.00,1837.39
Enabled,"""data analyst mock interview""",Phrase match,Data Analyst Sales,DA mock interview,Not eligible,campaign paused,1,,188,0.53%,INR,12.33,0.00%,0.00,0.00
Enabled,"""prepare for data analyst interview""",Phrase match,Data Analyst Sales,DA mock interview,Not eligible,campaign paused,12,,"1,376",0.87%,INR,397.18,0.00%,0.00,0.00
Enabled,"""interview preparation for data analyst""",Phrase match,Data Analyst Sales,DA mock interview,Not eligible,campaign paused,27,,"2,099",1.29%,INR,1184.13,0.00%,0.00,0.00
Enabled,"""data analyst interview preparation course""",Phrase match,Data Analyst Sales,DA mock interview,Not eligible,campaign paused,0,,1,0.00%,INR,0.00,0.00%,0.00,0.00
Enabled,"""data analyst job preparation""",Phrase match,Data Analyst Sales,DA mock interview,Not eligible,campaign paused,20,,"2,003",1.00%,INR,1027.59,0.00%,0.00,0.00
Enabled,[data analytics mock interview],Exact match,Data Analyst Sales,DA mock interview,Not eligible,campaign paused,12,,154,7.79%,INR,744.46,0.00%,0.00,0.00
Enabled,[mock interview business analyst],Exact match,Data Analyst Sales,BA mock interview,Not eligible,campaign paused,2,,43,4.65%,INR,8.22,0.00%,0.00,0.00
Enabled,[mock interview for business analyst],Exact match,Data Analyst Sales,BA mock interview,Not eligible,campaign paused,1,,160,0.63%,INR,105.75,0.00%,0.00,0.00
Enabled,[business analyst mock interview],Exact match,Data Analyst Sales,BA mock interview,Not eligible,campaign paused,6,,364,1.65%,INR,332.37,0.00%,0.00,0.00
